user_id,item_id,feedback_type,confidence,user_segment,item_category
0,38,view,1.010649518907584,casual,electronics
0,49,view,1.0197656953721814,casual,electronics
1,98,view,0.8030251499912568,power,home
1,65,view,1.1708138179185226,power,home
1,72,view,0.8778233292741204,power,electronics
1,387,view,0.9229159859705146,power,electronics
1,122,view,0.8358505356619769,power,books
1,4,view,0.9654196406101406,power,books
1,21,click,1.7451506781565016,power,electronics
1,304,view,1.117362903259135,power,home
1,116,view,0.8348155850350635,power,electronics
1,158,view,1.053260550237609,power,books
1,79,click,2.307365170678726,power,books
1,40,click,1.739818754261902,power,clothing
1,188,purchase,4.706842758605436,power,clothing
1,162,view,1.092783227034254,power,clothing
1,145,click,1.6764282510677346,power,books
1,442,view,0.8611935203314252,power,home
1,432,click,1.7733918400726205,power,clothing
1,118,click,2.0856752288710245,power,electronics
1,45,view,1.0528061944081673,power,home
1,8,view,1.0388187667582767,power,electronics
1,186,view,1.0870391062632705,power,home
1,459,view,1.1274828228476932,power,home
1,457,view,0.9096642666239224,power,home
1,319,view,0.9604751656155931,power,electronics
1,290,view,0.8277695370984374,power,clothing
1,5,click,1.6559452845675473,power,home
1,41,click,2.1207018952377554,power,home
1,245,view,1.0677947820792761,power,home
1,4,view,1.1981921962817028,power,books
1,41,view,0.8355069576431075,power,home
1,409,click,1.7607469509272453,power,books
1,261,view,1.1287225775604348,power,home
1,483,click,2.2363599686317834,power,electronics
1,472,view,1.1896658514512062,power,books
2,363,click,1.6712995456928135,regular,home
2,154,click,2.0054707454563863,regular,home
2,465,view,0.8909429200384396,regular,electronics
2,421,view,1.1747831292124251,regular,clothing
2,314,click,1.8237628307771834,regular,clothing
2,356,view,1.167756789285767,regular,books
2,354,view,0.9564171052232697,regular,clothing
2,211,view,1.1269798833964766,regular,clothing
2,359,view,1.0885688269314926,regular,clothing
2,21,view,0.832367713220501,regular,electronics
2,282,view,0.8894457737985245,regular,clothing
2,356,click,2.2579844509074887,regular,books
2,187,view,1.0425483777733502,regular,electronics
3,15,view,0.9470137689166126,casual,books
3,87,view,0.8319861577437209,casual,electronics
3,439,view,1.1745796695534643,casual,home
4,417,click,1.7216198825029185,casual,electronics
4,33,view,0.9938406348075459,casual,electronics
4,152,click,2.3869431402107306,casual,home
